"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Dec 14 14:48:15 GMT 2022","Wed Dec 14 14:48:16 GMT 2022","856","tests","test_landing_page","","","","test_logo_exlab_header","Test logo ExLab in HEADER. [2] test from check-list. Without refresh method in test"
"passed","Wed Dec 14 14:48:21 GMT 2022","Wed Dec 14 14:48:24 GMT 2022","2958","tests","test_landing_page","","","","test_projects_header","Test 'Projects' button in HEADER. [4] test from check-list"
"passed","Wed Dec 14 14:50:10 GMT 2022","Wed Dec 14 14:50:16 GMT 2022","5596","tests","test_landing_page","","","","test_telegram_footer","Test 'Telegram' button in FOOTER. [40] test from check-list"
"skipped","Wed Dec 14 14:48:24 GMT 2022","Wed Dec 14 14:48:24 GMT 2022","0","tests","test_landing_page","","","","test_startup_for_header","Test 'StartUp_For' button in HEADER. [6] test from check-list"
"passed","Wed Dec 14 14:49:46 GMT 2022","Wed Dec 14 14:49:51 GMT 2022","4479","tests","test_landing_page","","","","test_logo_footer_block","Test Logo in FOOTER block are present and displayed. [36] test from check-list"
"passed","Wed Dec 14 14:49:52 GMT 2022","Wed Dec 14 14:49:56 GMT 2022","4425","tests","test_landing_page","","","","test_text_under_logo_footer_block","Test Text_Under_Logo in FOOTER block are present and displayed. [37] test from check-list"
"skipped","Wed Dec 14 14:48:24 GMT 2022","Wed Dec 14 14:48:24 GMT 2022","0","tests","test_landing_page","","","","test_mentors_header","Test 'Mentors' button in HEADER. [5] test from check-list"
"passed","Wed Dec 14 14:49:41 GMT 2022","Wed Dec 14 14:49:46 GMT 2022","4448","tests","test_landing_page","","","","test_description_stay_connected_block","Test description in FOOTER block are present and displayed. [35] test from check-list"
"passed","Wed Dec 14 14:48:48 GMT 2022","Wed Dec 14 14:48:52 GMT 2022","4079","tests","test_landing_page","","","","test_logos_and_descriptions_projects_block","Test logos and descriptions of projects in Projects block are present and displayed. [17] test from check-list"
"passed","Wed Dec 14 14:49:31 GMT 2022","Wed Dec 14 14:49:35 GMT 2022","3967","tests","test_landing_page","","","","test_patreon_button_help_project","Test Patreon button in Help Project block. [33] test from check-list. Without Patreon page checking"
"passed","Wed Dec 14 14:48:33 GMT 2022","Wed Dec 14 14:48:34 GMT 2022","921","tests","test_landing_page","","","","test_text_your_opportunity_block","Test 'Text_Under_Main_Title' block YOUR OPPORTUNITY is present and displayed. [12] test from check-list"
