"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Dec 10 10:11:47 GMT 2022","Sat Dec 10 10:11:50 GMT 2022","2869","tests","test_landing_page","","","","test_why_exlab_block","Test Why_Exlab title and description is present and displayed. [14] test from check-list"
"passed","Sat Dec 10 10:11:27 GMT 2022","Sat Dec 10 10:11:30 GMT 2022","3401","tests","test_landing_page","","","","test_projects_header","Test 'Projects' button in HEADER. [4] test from check-list"
"passed","Sat Dec 10 10:11:22 GMT 2022","Sat Dec 10 10:11:26 GMT 2022","3429","tests","test_landing_page","","","","test_about_us_header","Test 'About_Us' button in HEADER. [3] test from check-list"
"skipped","Sat Dec 10 10:11:30 GMT 2022","Sat Dec 10 10:11:30 GMT 2022","0","tests","test_landing_page","","","","test_mentors_header","Test 'Mentors' button in HEADER. [5] test from check-list"
"passed","Sat Dec 10 10:11:43 GMT 2022","Sat Dec 10 10:11:46 GMT 2022","2403","tests","test_landing_page","","","","test_about_us_block","Test About_Us title and description is present and displayed. [13] test from check-list"
"passed","Sat Dec 10 10:11:41 GMT 2022","Sat Dec 10 10:11:43 GMT 2022","1358","tests","test_landing_page","","","","test_text_your_opportunity_block","Test 'Text_Under_Main_Title' block YOUR OPPORTUNITY is present and displayed. [12] test from check-list"
"passed","Sat Dec 10 10:11:20 GMT 2022","Sat Dec 10 10:11:21 GMT 2022","1295","tests","test_landing_page","","","","test_logo_exlab_header","Test logo ExLab in HEADER. [2] test from check-list. Without refresh method in test"
"skipped","Sat Dec 10 10:11:30 GMT 2022","Sat Dec 10 10:11:30 GMT 2022","0","tests","test_landing_page","","","","test_startup_for_header","Test 'StartUp_For' button in HEADER. [6] test from check-list"
"passed","Sat Dec 10 10:11:33 GMT 2022","Sat Dec 10 10:11:36 GMT 2022","3256","tests","test_landing_page","","","","test_join_header","Test 'Join' button in HEADER. [9] test from check-list"
"passed","Sat Dec 10 10:11:31 GMT 2022","Sat Dec 10 10:11:32 GMT 2022","1445","tests","test_landing_page","","","","test_sun_icon_header","Test 'Sun_Icon' button in HEADER. [7] test from check-list"
"passed","Sat Dec 10 10:11:37 GMT 2022","Sat Dec 10 10:11:40 GMT 2022","3330","tests","test_landing_page","","","","test_logo_gif_your_opportunity_block","Test 'Logo_Gif' in block YOUR_OPPORTYNITY is present and displayed. [11] test from check-list"
"passed","Sat Dec 10 10:11:18 GMT 2022","Sat Dec 10 10:11:19 GMT 2022","1748","tests","test_landing_page","","","","test_landing_url_and_black_theme","Test landing URL and black theme on default. [1] test from check-list"
